"Statistic","Upregulated","Downregulated","P_value_Wilcoxon"
"Mean",0.02289370756828,-0.0419641471554018,2.05482636813575e-256
"Median",2.55903026997837e-08,-3.64127312635887e-07,NA
"Std_Dev",0.161498790448621,0.470118583980819,NA
"Variance",0.0260818593163676,0.22101148300413,NA
"Min",8.05657511533354e-10,-8.50009489125585,NA
"Max",2.33913530883253,-3.55962723656272e-10,NA
"Range",2.33913530802687,8.50009489089989,NA
"Skewness",8.93267411477652,-12.8888796390776,NA
"Kurtosis",96.4443831431642,181.188113617432,NA
"IQR",1.31983224965678e-07,1.66890935404067e-07,NA
"Quartile_1",1.48536386093735e-08,-3.91375386903482e-07,NA
"Quartile_3",1.46836863575051e-07,-2.24484451499415e-07,NA
